trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.85, 'e': 0.9945968726536185}",25,0,-146.94310592304507,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
105,False,"{'a': 0.85, 'e': 0.9944925627484974}",20,10,-63.88647349113054,"{0: 4, 1: 4, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.85, 'e': 0.9943872583508965}",25,0,-189.37830361433302,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
107,False,"{'a': 0.85, 'e': 0.9942809595661201}",30,0,-207.97330287121943,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
108,False,"{'a': 0.85, 'e': 0.9941736665004669}",30,0,-46.923747439519225,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
109,False,"{'a': 0.85, 'e': 0.9940653792612301}",25,0,-124.06060495235707,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
110,False,"{'a': 0.85, 'e': 0.9939560979566968}",25,0,-68.98812797918447,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
111,False,"{'a': 0.85, 'e': 0.9938458226961485}",20,0,-60.5132641200242,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
112,False,"{'a': 0.85, 'e': 0.9937345535898603}",30,0,-85.76613436440184,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
113,False,"{'a': 0.85, 'e': 0.9936222907491012}",25,0,-104.1319990252231,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
114,False,"{'a': 0.85, 'e': 0.9935090342861344}",25,0,-102.64682772083806,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
115,False,"{'a': 0.85, 'e': 0.9933947843142158}",20,0,-209.42563956715594,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 3}",0
116,False,"{'a': 0.85, 'e': 0.9932795409475959}",30,0,-107.79539717999745,"{0: 17, 1: 2, 2: 11, 3: 0, 4: 0}",0
117,False,"{'a': 0.85, 'e': 0.9931633043015177}",30,0,-208.56330780710812,"{0: 13, 1: 3, 2: 11, 3: 1, 4: 2}",0
118,False,"{'a': 0.85, 'e': 0.993046074492218}",25,0,-143.49230608363152,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
119,False,"{'a': 0.85, 'e': 0.9929278516369265}",20,0,-84.95843203464014,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
120,False,"{'a': 0.85, 'e': 0.9928086358538663}",20,0,-82.03472441423168,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
121,False,"{'a': 0.85, 'e': 0.9926884272622528}",20,0,-48.86950708256452,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
122,False,"{'a': 0.85, 'e': 0.9925672259822949}",25,0,-107.57497992058217,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
123,False,"{'a': 0.85, 'e': 0.9924450321351935}",20,0,-90.0829389271239,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
124,False,"{'a': 0.85, 'e': 0.9923218458431429}",20,0,-79.63236424222501,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
125,False,"{'a': 0.85, 'e': 0.992197667229329}",20,0,-12.150531121639927,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.85, 'e': 0.9920724964179307}",30,0,-159.29551950192382,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
127,False,"{'a': 0.85, 'e': 0.9919463335341185}",25,0,-108.23216180829213,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
128,False,"{'a': 0.85, 'e': 0.9918191787040556}",20,13,-48.90793107255437,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
129,False,"{'a': 0.85, 'e': 0.9916910320548965}",20,0,-86.24450408671731,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
130,False,"{'a': 0.85, 'e': 0.9915618937147881}",25,0,-183.455017799513,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
131,False,"{'a': 0.85, 'e': 0.9914317638128685}",25,0,-123.12164186982406,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
132,False,"{'a': 0.85, 'e': 0.9913006424792677}",25,0,-170.73328410460462,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
133,False,"{'a': 0.85, 'e': 0.9911685298451072}",20,0,-123.598106004441,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
134,False,"{'a': 0.85, 'e': 0.9910354260424993}",20,0,-124.47017572797216,"{0: 8, 1: 4, 2: 5, 3: 3, 4: 0}",0
135,False,"{'a': 0.85, 'e': 0.9909013312045479}",20,0,-117.45254670376768,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
136,False,"{'a': 0.85, 'e': 0.990766245465348}",20,0,-94.56505726188333,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
137,False,"{'a': 0.85, 'e': 0.9906301689599851}",20,0,-139.9519124311178,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
138,False,"{'a': 0.85, 'e': 0.9904931018245359}",25,0,-49.862380194443745,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
139,False,"{'a': 0.85, 'e': 0.9903550441960673}",20,0,-203.99376716617908,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
140,False,"{'a': 0.85, 'e': 0.9902159962126371}",30,0,-202.50542427766192,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
141,False,"{'a': 0.85, 'e': 0.9900759580132933}",25,0,-171.38068171391814,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
142,False,"{'a': 0.85, 'e': 0.9899349297380738}",25,0,-217.1806059056332,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
143,False,"{'a': 0.85, 'e': 0.9897929115280072}",25,0,-234.5124791059636,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
144,False,"{'a': 0.85, 'e': 0.9896499035251115}",20,0,-22.52014739034196,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
145,False,"{'a': 0.85, 'e': 0.9895059058723947}",30,0,-142.70479100873982,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
146,False,"{'a': 0.85, 'e': 0.9893609187138546}",25,0,-46.168038512094384,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
147,False,"{'a': 0.85, 'e': 0.9892149421944781}",25,0,-143.6012358744749,"{0: 15, 1: 0, 2: 5, 3: 4, 4: 1}",0
148,False,"{'a': 0.85, 'e': 0.989067976460242}",25,0,-152.5547315005916,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
149,False,"{'a': 0.85, 'e': 0.9889200216581118}",25,0,-139.02748402381891,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
